start_utc,end_exclusive_utc,complete_calendar_period,equity_start,equity_end,net_return
2023-10-02T00:00:00+00:00,2023-11-01T00:00:00+00:00,False,10000.0,9855.15025940214,-0.014484974059785993
2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,True,9855.15025940214,10091.032176704997,0.023934887961532425
2023-12-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,True,10091.032176704997,8864.238836114599,-0.1215726319278253
2024-01-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,True,8864.238836114599,8589.148879499908,-0.031033680578858247
2024-02-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,True,8589.148879499908,8474.397191162576,-0.013360076760482564
2024-03-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,True,8474.397191162576,8646.811254465603,0.020345289395076627
2024-04-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,True,8646.811254465603,8604.12601810989,-0.004936529212855145
2024-05-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,True,8604.12601810989,8600.272333938176,-0.00044788792767591623
2024-06-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,True,8600.272333938176,8600.272333938176,0.0
2024-07-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,True,8600.272333938176,9050.433763265284,0.052342694724990535
2024-08-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,True,9050.433763265284,7948.815910087418,-0.12171989564182129
2024-09-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,True,7948.815910087418,7714.560305739487,-0.029470503153891103
2024-10-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,True,7714.560305739487,7926.187041225325,0.027432118889315182
2024-11-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,True,7926.187041225325,8814.06674237784,0.11201851489682424
2024-12-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,True,8814.06674237784,8444.200962757375,-0.04196312444993844
2025-01-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,True,8444.200962757375,8252.959468585697,-0.022647672055075008
2025-02-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,True,8252.959468585697,8142.548220655702,-0.01337838242757261
2025-03-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,True,8142.548220655702,6963.944740479616,-0.14474626962432358
2025-04-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,True,6963.944740479616,6960.836980526251,-0.0004462643040947789
2025-05-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,True,6960.836980526251,6670.138474994808,-0.04176200453260226
2025-06-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,True,6670.138474994808,6230.525988554448,-0.06590755020879868
2025-07-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,True,6230.525988554448,6554.318643152393,0.05196875114440669
2025-08-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,True,6554.318643152393,6159.073599781498,-0.060302994848110636
2025-09-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,True,6159.073599781498,5647.693427198628,-0.08302874844700858
2025-10-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,True,5647.693427198628,5403.485504495656,-0.04324029373246363
2025-11-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,True,5403.485504495656,5150.835755447732,-0.04675681073590776
2025-12-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,True,5150.835755447732,5066.004074154961,-0.01646949841160228
2026-01-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,True,5066.004074154961,4876.617397211509,-0.03738383826212033
2026-02-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,True,4876.617397211509,4687.821356502935,-0.03871454849349676
2026-03-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,True,4687.821356502935,4672.1444111986675,-0.0033441857340660297
2026-04-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,True,4672.1444111986675,4565.020116301258,-0.02292829276437669
2026-05-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,True,4565.020116301258,4265.13700716943,-0.06569151975058629
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,True,4265.13700716943,4276.447484853586,0.0026518439302520846
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,True,4276.447484853586,4470.501791139158,0.04537745569725282
2026-08-01T00:00:00+00:00,2026-08-31T00:00:00+00:00,False,4470.501791139158,4304.539197072111,-0.03712392966623923
