trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,initial_margin_30x,allocated_collateral,reason,exit_at_open,missing_mark_minutes,signal_row,entry_utc,exit_bar_open_utc,exit_utc_upper_bound,hold_hours,overnight,reason_text,target_price_R,net_realized_R,daily_iv_available_utc,weekly_iv_available_utc,signal_upper_wall,signal_lower_wall,additional_collateral
1,883995.0,884836.0,-1.0,0.17200000000000001,51669.8,52199.100000000006,52188.600000000006,49075.700000000004,4.443602800000001,4.489122600000001,-3.2775067566841645,-91.0396000000005,-96.69481864331634,10000.0,9903.305181356684,0.8887205600000001,296.2401866666667,296.2401866666667,1.0,0.0,0.0,0.0,2021-09-05 21:15:00+00:00,2021-09-06 11:16:00+00:00,2021-09-06 11:17:00+00:00,14.016666666666667,True,stop,5.000192752505752,-1.083614452888999,2021-09-05 00:01:00+00:00,2021-08-30 00:01:00+00:00,51763.152561054805,48182.488669055216,0.0
2,886200.0,886456.0,1.0,0.129,50945.700000000004,50233.9,50244.0,54454.3,3.28599765,3.24008655,0.0,-91.82220000000038,-98.34828420000038,9903.305181356684,9804.956897156682,0.6636163563223327,219.06651000000002,238.38919425000057,1.0,0.0,0.0,6.0,2021-09-07 10:00:00+00:00,2021-09-07 14:16:00+00:00,2021-09-07 14:17:00+00:00,4.266666666666667,False,stop,5.000142511044573,-1.0864896679492635,2021-09-07 00:01:00+00:00,2021-09-06 00:01:00+00:00,54639.93872291651,50798.019906943766,19.32268425000055
3,887115.0,889495.0,-1.0,0.152,46764.4,47359.600000000006,47350.100000000006,43835.8,3.5540944,3.5993296000000004,-3.503900648085664,-90.47040000000067,-94.119923351915,9804.956897156682,9710.836973804768,0.7249586994167498,236.93962666666667,248.96064800000067,1.0,0.0,0.0,7.0,2021-09-08 01:15:00+00:00,2021-09-09 16:55:00+00:00,2021-09-09 16:56:00+00:00,39.666666666666664,True,stop,5.000170735871567,-1.05721362822617,2021-09-08 00:01:00+00:00,2021-09-06 00:01:00+00:00,57074.612238297574,47012.066257796694,12.021021333334005
4,904560.0,905009.0,-1.0,0.233,45543.8,43746.0,45905.100000000006,43737.200000000004,5.305852700000001,5.096409,-1.04483762283531,418.8874000000007,409.529975922836,9710.836973804768,10120.366949727604,1.0927693903857463,353.72351333333336,353.72351333333336,2.0,0.0,0.0,9.0,2021-09-20 04:00:00+00:00,2021-09-20 11:29:00+00:00,2021-09-20 11:30:00+00:00,7.483333333333333,False,target,5.000276778300537,4.864764410858175,2021-09-20 00:01:00+00:00,2021-09-20 00:01:00+00:00,48874.20785563269,45693.13019547437,0.0
5,905760.0,905781.0,-1.0,0.211,43018.0,40899.100000000006,43443.4,40890.9,4.538398999999999,4.31485505,0.0,447.08789999999874,438.2346459499987,10120.366949727604,10558.601595677605,0.8968842775255601,302.5599333333333,302.55993333333333,2.0,0.0,0.0,10.0,2021-09-21 00:00:00+00:00,2021-09-21 00:21:00+00:00,2021-09-21 00:22:00+00:00,0.35,False,target,5.00023507287257,4.882325928537816,2021-09-20 00:01:00+00:00,2021-09-20 00:01:00+00:00,51657.265977863106,43231.392534500555,5.684341886080802e-14
6,907005.0,907064.0,-1.0,0.185,41191.700000000004,41719.3,41710.9,38595.700000000004,3.8102322500000008,3.8590352500000003,0.0,-97.60599999999972,-105.27526749999973,10558.601595677605,10453.326328177605,0.7217304707395727,254.01548333333338,267.51245124999946,1.0,0.0,0.0,12.0,2021-09-21 20:45:00+00:00,2021-09-21 21:44:00+00:00,2021-09-21 21:45:00+00:00,0.9833333333333333,False,stop,5.000000000000028,-1.0960236902927614,2021-09-21 00:01:00+00:00,2021-09-20 00:01:00+00:00,44604.75927079439,41504.27752161769,13.49696791666608
7,907740.0,908131.0,-1.0,0.146,42271.100000000006,42944.0,42935.4,38949.6,3.0857903,3.134912,0.0,-98.24339999999914,-104.46410229999914,10453.326328177605,10348.862225877607,0.590393947940199,205.71935333333334,235.84836349999935,1.0,0.0,0.0,14.0,2021-09-22 09:00:00+00:00,2021-09-22 15:31:00+00:00,2021-09-22 15:32:00+00:00,6.516666666666667,False,stop,5.0000000000000435,-1.0770849766671668,2021-09-22 00:01:00+00:00,2021-09-20 00:01:00+00:00,42294.529635462866,39215.83324145291,30.129010166666006
8,913575.0,914459.0,-1.0,0.121,43144.100000000006,43955.5,43946.700000000004,39131.1,2.6102180500000003,2.65930775,-0.4338791180769871,-98.17939999999929,-103.0150466819223,10348.862225877607,10245.847179195684,0.504445414969982,174.0145366666667,214.57441224999982,1.0,0.0,0.0,17.0,2021-09-26 10:15:00+00:00,2021-09-27 00:59:00+00:00,2021-09-27 01:00:00+00:00,14.733333333333333,True,stop,5.000000000000018,-1.0607575656175539,2021-09-26 00:01:00+00:00,2021-09-20 00:01:00+00:00,51657.265977863106,43231.392534500555,40.55987558333314
9,923100.0,923349.0,-1.0,0.131,47246.200000000004,47980.3,47970.700000000004,43623.700000000004,3.0946261000000006,3.1427096500000005,0.0,-96.16709999999982,-102.40443574999982,10245.847179195684,10143.442743445683,0.6040742255620748,206.30840666666668,234.16767450000003,1.0,0.0,0.0,22.0,2021-10-03 01:00:00+00:00,2021-10-03 05:09:00+00:00,2021-10-03 05:10:00+00:00,4.15,False,stop,5.0,-1.0789692891649394,2021-10-03 00:01:00+00:00,2021-09-27 00:01:00+00:00,47334.80027020237,39335.171784216756,27.859267833333348
10,927120.0,927863.0,1.0,0.2,51175.100000000006,50719.0,50729.200000000004,53404.700000000004,5.117510000000001,5.0719,2.057772624775,-91.22000000000116,-103.46718262477616,10143.442743445683,10039.975560820905,1.0090282223570979,341.16733333333343,341.1673333333334,1.0,0.0,0.0,25.0,2021-10-05 20:00:00+00:00,2021-10-06 08:23:00+00:00,2021-10-06 08:24:00+00:00,12.383333333333333,True,stop,5.000224265530369,-1.1602061294547636,2021-10-05 00:01:00+00:00,2021-10-04 00:01:00+00:00,50959.91702062537,47497.425284047225,-5.684341886080802e-14
