trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,exit_reason,timestamp_precision,initial_stop,initial_target,target_r,realized_net_r
1,1973640.0,1973649.0,1.0,1.347,28545.800000000003,28283.4,19.225596300000003,19.048869900000003,0.0,-353.45280000000196,-391.72726620000196,9608.272733799997,1.0,10000.0,3.84511926,1696255800.0,2023-10-02T14:00:00Z,2023-10-02T14:00:00Z,2023-10-02T14:09:00Z,2023-10-02T14:10:00Z,stop,within_minute_not_exact_tick,28289.12100841966,29059.157983160687,2.0,-1.1329894909181741
2,1977960.0,1978024.0,1.0,1.6400000000000001,27982.2,27781.7,22.945404000000003,22.780994000000003,0.0,-328.82000000000005,-374.54639800000007,9233.726335799996,1.0,9608.272733799997,4.776176662696641,1696518300.0,2023-10-05T14:00:00Z,2023-10-05T14:00:00Z,2023-10-05T15:04:00Z,2023-10-05T15:05:00Z,stop,within_minute_not_exact_tick,27787.345606205905,28371.908787588192,2.0,-1.1720646660979743
3,1992780.0,1992895.0,1.0,1.697,27199.4,27065.7,23.0786909,22.965246450000002,0.0,-226.88890000000126,-272.93283735000125,8960.793498449995,1.0,9233.726335799996,4.998781653409376,1697410560.0,2023-10-15T21:00:00Z,2023-10-15T21:00:00Z,2023-10-15T22:55:00Z,2023-10-15T22:56:00Z,stop,within_minute_not_exact_tick,27071.17993919273,27455.840121614547,2.0,-1.254347790723239
4,1993320.0,1993509.0,1.0,1.356,27909.0,27678.5,18.922302,18.766023,0.010569228096000001,-312.55800000000005,-350.2568942280961,8610.5366042219,1.0,8960.793498449995,4.223354104359867,1697447400.0,2023-10-16T06:00:00Z,2023-10-16T06:00:00Z,2023-10-16T09:09:00Z,2023-10-16T09:10:00Z,stop,within_minute_not_exact_tick,27684.074793787884,28358.85041242423,2.0,-1.1483886077775054
5,1998960.0,1999244.0,1.0,1.0190000000000001,29228.800000000003,29816.300000000003,14.892073600000003,15.191404850000003,0.57721084827,598.6625,568.0018107017299,9178.538414923629,2.0,8610.5366042219,3.4590349671582965,1697791500.0,2023-10-20T04:00:00Z,2023-10-20T04:00:00Z,2023-10-20T08:44:00Z,2023-10-20T08:45:00Z,target,within_minute_not_exact_tick,28932.05509569196,29822.289808616082,2.0,1.8784181078687405
6,1999260.0,1999491.0,1.0,0.987,29725.800000000003,29390.0,14.6696823,14.503965,0.0,-331.4346000000029,-360.60824730000286,8817.930167623626,1.0,9178.538414923629,3.196518146320154,1697806320.0,2023-10-20T09:00:00Z,2023-10-20T09:00:00Z,2023-10-20T12:51:00Z,2023-10-20T12:52:00Z,stop,within_minute_not_exact_tick,29395.917451734684,30385.565096530645,2.0,-1.1075393406569352
7,2003280.0,2003515.0,1.0,0.994,30730.100000000002,30412.7,15.272859700000001,15.1151119,0.0,-315.49560000000145,-345.88357160000146,8472.046596023625,1.0,8817.930167623626,3.4640464167150316,1698047760.0,2023-10-23T04:00:00Z,2023-10-23T04:00:00Z,2023-10-23T07:55:00Z,2023-10-23T07:56:00Z,stop,within_minute_not_exact_tick,30418.813538627965,31352.67292274408,2.0,-1.117849451165554
8,2004060.0,2004088.0,1.0,0.787,31203.800000000003,30811.4,12.2786953,12.1242859,0.0,-308.81880000000115,-333.22178120000115,8138.824814823624,1.0,8472.046596023625,2.898637338884098,1698082140.0,2023-10-23T17:00:00Z,2023-10-23T17:00:00Z,2023-10-23T17:28:00Z,2023-10-23T17:29:00Z,stop,within_minute_not_exact_tick,30817.603510210112,31976.192979579784,2.0,-1.0963527924097802
9,2004240.0,2004390.0,1.0,0.597,31346.600000000002,32267.300000000003,9.3569601,9.631789050000002,0.0,549.6579000000004,530.6691508500004,8669.493965673624,2.0,8138.824814823624,2.299339354978554,1698100260.0,2023-10-23T20:00:00Z,2023-10-23T20:00:00Z,2023-10-23T22:30:00Z,2023-10-23T22:31:00Z,target,within_minute_not_exact_tick,30883.011992167972,32273.77601566406,2.0,1.917420284784571
10,2004420.0,2004626.0,1.0,0.387,33365.5,35053.8,6.45622425,6.7829103,1.279985663373435,653.3721000000012,638.8529797866278,9308.346945460253,2.0,8669.493965673624,1.4894120177170798,1698114420.0,2023-10-23T23:00:00Z,2023-10-23T23:00:00Z,2023-10-24T02:26:00Z,2023-10-24T02:27:00Z,target,within_minute_not_exact_tick,32517.799015832497,35060.901968335005,2.0,1.9473646065501165
11,2017260.0,2017821.0,1.0,0.769,35501.6,35060.700000000004,13.650365200000001,13.480839150000001,2.72514375,-339.0520999999955,-368.9084480999955,8939.438497360257,1.0,9308.346945460253,2.9329300422471642,1698906120.0,2023-11-01T21:00:00Z,2023-11-01T21:00:00Z,2023-11-02T06:21:00Z,2023-11-02T06:22:00Z,stop,within_minute_not_exact_tick,35067.75504235846,36369.28991528308,2.0,-1.105751931768128
12,2021700.0,2021772.0,1.0,1.26,35178.9,34937.700000000004,22.162707,22.010751000000003,4.418851887000181,-303.91199999999634,-352.50430988699657,8586.934187473262,1.0,8939.438497360257,4.958411427416714,1699143180.0,2023-11-04T23:00:00Z,2023-11-04T23:00:00Z,2023-11-05T00:12:00Z,2023-11-05T00:13:00Z,stop,within_minute_not_exact_tick,34944.69225435761,35647.3154912848,2.0,-1.1945178181011296
13,2022000.0,2022287.0,1.0,1.125,35299.5,35036.8,19.85596875,19.7082,3.957232500000001,-295.5374999999967,-339.05890124999667,8247.875286223265,1.0,8586.934187473262,4.624693357721586,1699174080.0,2023-11-05T04:00:00Z,2023-11-05T04:00:00Z,2023-11-05T08:47:00Z,2023-11-05T08:48:00Z,stop,within_minute_not_exact_tick,35043.890300623076,35810.71939875384,2.0,-1.1790854992383317
14,2025900.0,2025975.0,1.0,0.8270000000000001,35645.8,35290.3,14.739538300000003,14.592539050000003,0.0,-293.99850000000004,-323.33057735000006,7924.544708873264,1.0,8247.875286223265,3.5741418943664205,1699395360.0,2023-11-07T21:00:00Z,2023-11-07T21:00:00Z,2023-11-07T22:15:00Z,2023-11-07T22:16:00Z,stop,within_minute_not_exact_tick,35297.41325565988,36342.57348868025,2.0,-1.1222242417418276
15,2027700.0,2028361.0,1.0,0.605,36389.8,37327.4,11.007914500000002,11.291538500000001,2.2113112999999998,567.2479999999991,542.7372356999991,8467.281944573264,2.0,7924.544708873264,2.778182193274581,1699538520.0,2023-11-09T03:00:00Z,2023-11-09T03:00:00Z,2023-11-09T14:01:00Z,2023-11-09T14:02:00Z,target,within_minute_not_exact_tick,35917.26315142817,37334.873697143674,2.0,1.8984473755037121
16,2028420.0,2028446.0,1.0,0.5700000000000001,37930.0,37382.1,10.810050000000002,10.653898500000002,0.0,-312.30300000000085,-333.76694850000086,8133.514996073263,1.0,8467.281944573264,2.553369563163828,1699543620.0,2023-11-09T15:00:00Z,2023-11-09T15:00:00Z,2023-11-09T15:26:00Z,2023-11-09T15:27:00Z,stop,within_minute_not_exact_tick,37389.66682531085,39010.66634937829,2.0,-1.083694426752294
17,2037300.0,2038396.0,1.0,0.629,37421.3,36949.700000000004,11.768998850000003,11.620680650000002,5.964308908526027,-296.63639999999907,-325.9903884085251,7807.524607664739,1.0,8133.514996073263,2.8939514725630664,1700140620.0,2023-11-15T19:00:00Z,2023-11-15T19:00:00Z,2023-11-16T13:16:00Z,2023-11-16T13:17:00Z,stop,within_minute_not_exact_tick,36957.12714163564,38349.64571672874,2.0,-1.116540312046492
18,2043120.0,2043308.0,1.0,1.055,36969.4,37401.1,19.5013585,19.72908025,0.0,455.4434999999969,416.21306124999694,8223.737668914737,2.0,7807.524607664739,4.9955291798517765,1700435340.0,2023-11-19T20:00:00Z,2023-11-19T20:00:00Z,2023-11-19T23:08:00Z,2023-11-19T23:09:00Z,target,within_minute_not_exact_tick,36749.78858194792,37408.622836104165,2.0,1.7964218504633347
19,2043360.0,2043582.0,1.0,1.028,37383.3,37108.6,19.2150162,19.073820400000002,3.842232240000001,-282.3916000000045,-324.5226688400044,7899.215000074732,1.0,8223.737668914737,4.673061562416242,1700451780.0,2023-11-20T00:00:00Z,2023-11-20T00:00:00Z,2023-11-20T03:42:00Z,2023-11-20T03:43:00Z,stop,within_minute_not_exact_tick,37116.07288423191,37917.75423153619,2.0,-1.1813304540320682
20,2050080.0,2050129.0,1.0,0.729,38225.0,37838.200000000004,13.933012499999998,13.792023900000002,2.78637651,-281.9771999999968,-312.48861290999685,7586.726387164736,1.0,7899.215000074732,3.5276954735041857,1700844600.0,2023-11-24T16:00:00Z,2023-11-24T16:00:00Z,2023-11-24T16:49:00Z,2023-11-24T16:50:00Z,stop,within_minute_not_exact_tick,37845.79554274844,38983.40891450312,2.0,-1.130402825712653
21,2055900.0,2056912.0,1.0,0.833,37876.3,38490.5,15.77547895,16.031293249999997,6.323088592669751,511.62859999999756,473.49873920732784,8060.225126372062,2.0,7586.726387164736,4.158705123909316,1701251580.0,2023-11-28T17:00:00Z,2023-11-28T17:00:00Z,2023-11-29T09:52:00Z,2023-11-29T09:53:00Z,target,within_minute_not_exact_tick,37565.33719564374,38498.22560871253,2.0,1.8279544994729213
